snapped_at,price,market_cap,total_volume
2014-01-26 00:00:00 UTC,951182.0518,11711381454242.127,25271836477.906807
2014-01-27 00:00:00 UTC,881223.9368,10853374311613.0,32151146956.161907
2014-01-28 00:00:00 UTC,901491.3481,11107410123642.314,71792937814.25414
2014-01-29 00:00:00 UTC,899319.2414,11084109650255.002,36782195506.86281
2014-01-30 00:00:00 UTC,911360.3767,11236093732027.232,18136090455.81995
2014-01-31 00:00:00 UTC,915689.5957,11293497382606.822,34825379346.98346
2014-02-01 00:00:00 UTC,922247.2402,11378778674311.62,16308927496.843847
2014-02-02 00:00:00 UTC,923861.2812,11403058117851.252,21370498349.06938
2014-02-03 00:00:00 UTC,918126.6817,11336661014958.92,14402323584.482824
2014-02-04 00:00:00 UTC,911830.558,11262748686304.4,16238681692.365322
2014-02-05 00:00:00 UTC,886628.0462,10955597287169.145,16759203556.57156
2014-02-06 00:00:00 UTC,844786.5914,10441963543334.914,49781737206.91069
2014-02-07 00:00:00 UTC,756797.7009,9357614372203.275,68966143948.63554
2014-02-08 00:00:00 UTC,727420.3761,8997517188768.305,90138707353.4933
2014-02-09 00:00:00 UTC,732845.9688,9067649741156.158,38017222900.33883
2014-02-10 00:00:00 UTC,729514.0949,9028940622115.184,40754413600.88488
2014-02-11 00:00:00 UTC,717553.4348,8883993198587.06,125341496857.31943
2014-02-12 00:00:00 UTC,690864.4915,8556961233130.395,69554996261.1049
2014-02-13 00:00:00 UTC,637354.8287,7897129070892.214,18682451806.40145
2014-02-14 00:00:00 UTC,698631.7993,8659523686808.609,101861742027.419
2014-02-15 00:00:00 UTC,685855.4113,8504332757955.48,61068710638.695915
2014-02-16 00:00:00 UTC,649402.4711,8055464247310.139,25500988231.031017
2014-02-17 00:00:00 UTC,659607.0892,8184948938130.978,49604060359.51285
2014-02-18 00:00:00 UTC,660923.7918,8203931365685.47,23334360665.230186
2014-02-19 00:00:00 UTC,658535.4884,8177512597957.005,14078782263.075476
2014-02-20 00:00:00 UTC,591023.402,7341796128988.144,35570873170.19448
2014-02-21 00:00:00 UTC,610076.1464,7581019721294.194,58687702601.523125
2014-02-22 00:00:00 UTC,649076.2663,8068164031700.61,24637073745.430504
2014-02-23 00:00:00 UTC,648445.7348,8063276812207.894,46414192058.60051
2014-02-24 00:00:00 UTC,585708.1843,7285799816962.99,48328420640.4669
2014-02-25 00:00:00 UTC,574159.1023,7144677975561.419,130367710824.90569
2014-02-26 00:00:00 UTC,616898.9437,7679235163273.68,81607165986.7561
2014-02-27 00:00:00 UTC,616279.6729,7674546173615.522,40174648322.584946
2014-02-28 00:00:00 UTC,580689.6104,7233969856038.52,25235222508.373764
2014-03-01 00:00:00 UTC,602147.8023,7503559462764.811,24622793441.143238
2014-03-02 00:00:00 UTC,597770.2125,7451250531312.218,11866912747.980316
2014-03-03 00:00:00 UTC,706691.4497,8811541346462.23,39870962417.06936
2014-03-04 00:00:00 UTC,711059.595,8868637469167.875,90725515845.24
2014-03-05 00:00:00 UTC,708992.083,8845934696372.324,29024363397.8125
2014-03-06 00:00:00 UTC,702573.5835,8768697945554.729,17882110436.778397
2014-03-07 00:00:00 UTC,665780.6253,8312321040956.387,32148530792.917812
2014-03-08 00:00:00 UTC,653960.1655,8167586439731.983,22877945203.600277
2014-03-09 00:00:00 UTC,673485.5864,8414192173688.4,16397532495.63733
2014-03-10 00:00:00 UTC,667373.0616,8340561574652.16,17647455121.66254
2014-03-11 00:00:00 UTC,669187.4901,8366031433776.924,13445605397.179295
2014-03-12 00:00:00 UTC,674867.8167,8439913787610.034,22006209749.095253
2014-03-13 00:00:00 UTC,682663.2203,8540338751766.668,13745136519.900442
2014-03-14 00:00:00 UTC,671277.0829,8400277505508.718,12728753338.112694
2014-03-15 00:00:00 UTC,679331.3284,8503988451627.502,6349592504.5600195
2014-03-16 00:00:00 UTC,676103.0491,8466263795750.591,5191715358.718424
2014-03-17 00:00:00 UTC,663941.936,8316968252328.271,14234132478.052925
2014-03-18 00:00:00 UTC,656182.7097,8222100588654.498,24868710097.372704
2014-03-19 00:00:00 UTC,651429.7519,8165085653716.512,16244778472.047586
2014-03-20 00:00:00 UTC,630775.6505,7908948955544.41,21359139340.026093
2014-03-21 00:00:00 UTC,615639.7361,7721830691146.696,40231949919.0417
2014-03-22 00:00:00 UTC,609609.0494,7648856184179.21,19534275795.04433
2014-03-23 00:00:00 UTC,606328.0723,7610917969317.245,10981159161.3302
2014-03-24 00:00:00 UTC,632401.629,7941336026432.678,19019925721.04519
2014-03-25 00:00:00 UTC,628231.7888,7891250910167.031,20095976164.70923
2014-03-26 00:00:00 UTC,623198.463,7829943388673.297,18749205592.037533
2014-03-27 00:00:00 UTC,512791.8011,6444075087293.315,20160349495.469612
2014-03-28 00:00:00 UTC,537619.8929,6758392792704.626,84936644032.1598
2014-03-29 00:00:00 UTC,527212.209,6630392084194.486,28140508726.379948
2014-03-30 00:00:00 UTC,494013.2943,6215033052020.502,18783181483.288307
2014-03-31 00:00:00 UTC,489013.2334,6154170415551.186,60767029806.811775
2014-04-01 00:00:00 UTC,508005.7667,,
2014-04-02 00:00:00 UTC,463831.5379,,
2014-04-03 00:00:00 UTC,472953.3712,,
2014-04-04 00:00:00 UTC,473714.187,,
2014-04-05 00:00:00 UTC,489894.7234,,
2014-04-06 00:00:00 UTC,485369.577,,
2014-04-07 00:00:00 UTC,470883.5312,5940807895089.999,10083100956.63844
2014-04-08 00:00:00 UTC,474484.0453,,
2014-04-09 00:00:00 UTC,459527.4224,,
2014-04-10 00:00:00 UTC,375630.3675,,
2014-04-11 00:00:00 UTC,435895.2222,,
2014-04-12 00:00:00 UTC,435753.9504,,
2014-04-13 00:00:00 UTC,429205.7911,,
2014-04-14 00:00:00 UTC,475096.3394,,
2014-04-15 00:00:00 UTC,541252.4202,,
2014-04-16 00:00:00 UTC,549846.6043,,
2014-04-17 00:00:00 UTC,513777.1969,,
2014-04-18 00:00:00 UTC,496364.1136,,
2014-04-19 00:00:00 UTC,520633.8448,,
2014-04-20 00:00:00 UTC,516238.963,,
2014-04-21 00:00:00 UTC,512183.8292,,
2014-04-22 00:00:00 UTC,502976.9775,,
2014-04-23 00:00:00 UTC,506133.048,,
2014-04-24 00:00:00 UTC,520023.5999,,
2014-04-25 00:00:00 UTC,478253.7396,,
2014-04-26 00:00:00 UTC,474849.5716,,
2014-04-27 00:00:00 UTC,447386.1984,,
2014-04-28 00:00:00 UTC,453072.209,,21549952573.49696
2014-04-29 00:00:00 UTC,457847.6383,,15505626905.891743
2014-04-30 00:00:00 UTC,459505.8776,,13480394403.265715
2014-05-01 00:00:00 UTC,470074.4599,,12347179300.441572
2014-05-02 00:00:00 UTC,457349.7172,,8421277731.31467
2014-05-03 00:00:00 UTC,447290.8476,,9735515996.866653
2014-05-04 00:00:00 UTC,447036.7156,,5387632087.365388
2014-05-05 00:00:00 UTC,441783.2188,,8821491098.917488
2014-05-06 00:00:00 UTC,438860.7083,,11129537693.695843
2014-05-07 00:00:00 UTC,450551.2173,,16779736565.736156
2014-05-08 00:00:00 UTC,447505.0694,,8688362160.126066
2014-05-09 00:00:00 UTC,458189.9098,,9030882524.555544
2014-05-10 00:00:00 UTC,463448.0866,,5663391013.043032
2014-05-11 00:00:00 UTC,446895.2118,,11803183801.793667
2014-05-12 00:00:00 UTC,449833.7632,,6046462333.349202
2014-05-13 00:00:00 UTC,447390.7202,,5749078031.954799
2014-05-14 00:00:00 UTC,455835.5828,,6941305769.426909
2014-05-15 00:00:00 UTC,455543.5595,,6378065514.994405
2014-05-16 00:00:00 UTC,456121.9713,,5423258353.507539
2014-05-17 00:00:00 UTC,456655.6434,,2706106065.4979715
2014-05-18 00:00:00 UTC,454901.1322,,8016908822.63674
2014-05-19 00:00:00 UTC,453678.7847,,11955786699.847225
2014-05-20 00:00:00 UTC,495143.5336,,60856761086.487785
2014-05-21 00:00:00 UTC,501545.719,,20651932543.482075
2014-05-22 00:00:00 UTC,535855.6125,,29487385091.01307
2014-05-23 00:00:00 UTC,537482.8379,,31003676110.534485
2014-05-24 00:00:00 UTC,536009.0328,,10488833241.630337
2014-05-25 00:00:00 UTC,583478.2612,,44846232812.85751
2014-05-26 00:00:00 UTC,593743.2231,,26812292307.77913
2014-05-27 00:00:00 UTC,583037.987,,33846573985.100296
2014-05-28 00:00:00 UTC,584345.6416,,16091458272.114021
